Region,City
AKDENIZ BÖLGESI,Adana
AKDENIZ BÖLGESI,Osmaniye
AKDENIZ BÖLGESI,Antalya
AKDENIZ BÖLGESI,Burdur
AKDENIZ BÖLGESI,Hatay
AKDENIZ BÖLGESI,Isparta
AKDENIZ BÖLGESI,Kahramanmaras
AKDENIZ BÖLGESI,Mersin
DOGU ANADOLU BÖLGESI,Agri
DOGU ANADOLU BÖLGESI,Ardahan
DOGU ANADOLU BÖLGESI,Bingöl
DOGU ANADOLU BÖLGESI,Bitlis
DOGU ANADOLU BÖLGESI,Elazig
DOGU ANADOLU BÖLGESI,Erzincan
DOGU ANADOLU BÖLGESI,Erzurum
DOGU ANADOLU BÖLGESI,Hakkari
DOGU ANADOLU BÖLGESI,Igdir
DOGU ANADOLU BÖLGESI,Kars
DOGU ANADOLU BÖLGESI,Malatya
DOGU ANADOLU BÖLGESI,Mus
DOGU ANADOLU BÖLGESI,Sirnak
DOGU ANADOLU BÖLGESI,Tunceli
DOGU ANADOLU BÖLGESI,Van
EGE BÖLGESI,Izmir
EGE BÖLGESI,Manisa
EGE BÖLGESI,Aydin
EGE BÖLGESI,Denizli
EGE BÖLGESI,Kütahya
EGE BÖLGESI,Afyonkarahisar
EGE BÖLGESI,Usak
EGE BÖLGESI,Mugla
GÜNEYDOGU ANADOLU BÖLGESI,Adiyaman
GÜNEYDOGU ANADOLU BÖLGESI,Batman
GÜNEYDOGU ANADOLU BÖLGESI,Diyarbakir
GÜNEYDOGU ANADOLU BÖLGESI,Gaziantep
GÜNEYDOGU ANADOLU BÖLGESI,Kilis
GÜNEYDOGU ANADOLU BÖLGESI,Mardin
GÜNEYDOGU ANADOLU BÖLGESI,Siirt
GÜNEYDOGU ANADOLU BÖLGESI,Sanliurfa
IÇ ANADOLU BÖLGESI,Aksaray
IÇ ANADOLU BÖLGESI,Ankara
IÇ ANADOLU BÖLGESI,Çankiri
IÇ ANADOLU BÖLGESI,Eskisehir
IÇ ANADOLU BÖLGESI,Karaman
IÇ ANADOLU BÖLGESI,Kirikkale
IÇ ANADOLU BÖLGESI,Kirsehir
IÇ ANADOLU BÖLGESI,Konya
IÇ ANADOLU BÖLGESI,Nevsehir
IÇ ANADOLU BÖLGESI,Nigde
IÇ ANADOLU BÖLGESI,Sivas
IÇ ANADOLU BÖLGESI,Yozgat
IÇ ANADOLU BÖLGESI,Kastamonu
IÇ ANADOLU BÖLGESI,Kayseri
KARADENIZ BÖLGESI,Rize
KARADENIZ BÖLGESI,Trabzon
KARADENIZ BÖLGESI,Artvin
KARADENIZ BÖLGESI,Sinop
KARADENIZ BÖLGESI,Tokat
KARADENIZ BÖLGESI,Çorum
KARADENIZ BÖLGESI,Amasya
KARADENIZ BÖLGESI,Samsun
KARADENIZ BÖLGESI,Zonguldak
KARADENIZ BÖLGESI,Bolu
KARADENIZ BÖLGESI,Düzce
KARADENIZ BÖLGESI,Bartin
KARADENIZ BÖLGESI,Bayburt
KARADENIZ BÖLGESI,Giresun
KARADENIZ BÖLGESI,Gümüshane
KARADENIZ BÖLGESI,Karabük
KARADENIZ BÖLGESI,Ordu
MARMARA BÖLGESI,Edirne
MARMARA BÖLGESI,Kirklareli
MARMARA BÖLGESI,Tekirdag
MARMARA BÖLGESI,Istanbul
MARMARA BÖLGESI,Kocaeli
MARMARA BÖLGESI,Yalova
MARMARA BÖLGESI,Sakarya
MARMARA BÖLGESI,Bilecik
MARMARA BÖLGESI,Bursa
MARMARA BÖLGESI,Balikesir
MARMARA BÖLGESI,Çanakkale
